,tag,gene_length
105,169963.11.peg.105,291
106,169963.11.peg.106,633
107,169963.11.peg.107,372
108,169963.11.peg.108,2283
109,169963.11.peg.109,903
110,169963.11.peg.110,1782
111,169963.11.peg.111,1743
112,169963.11.peg.112,834
113,169963.11.peg.113,1116
114,169963.11.peg.114,711
115,169963.11.peg.115,696
116,169963.11.peg.116,453
117,169963.11.peg.117,336
118,169963.11.peg.118,429
119,169963.11.peg.119,417
120,169963.11.peg.120,393
121,169963.11.peg.121,513
122,169963.11.peg.122,303
123,169963.11.peg.123,405
124,169963.11.peg.124,1869
125,169963.11.peg.125,819
126,169963.11.peg.126,1137
127,169963.11.peg.127,300
128,169963.11.peg.128,576
129,169963.11.peg.129,480
130,169963.11.peg.130,537
131,169963.11.peg.131,423
132,169963.11.peg.132,729
133,169963.11.peg.133,2349
134,169963.11.peg.134,750
135,169963.11.peg.135,1509
136,169963.11.peg.136,234
137,169963.11.peg.137,279
138,169963.11.peg.138,1575
139,169963.11.peg.139,951
140,169963.11.peg.140,894
141,169963.11.peg.141,147
142,169963.11.peg.142,285
143,169963.11.peg.143,369
144,169963.11.peg.144,1305
145,169963.11.peg.145,243
146,169963.11.peg.146,357
147,169963.11.peg.147,177
148,169963.11.peg.148,444
149,169963.11.peg.149,207
150,169963.11.peg.150,438
151,169963.11.peg.151,351
152,169963.11.peg.152,618
153,169963.11.peg.153,366
154,169963.11.peg.154,408
155,169963.11.peg.155,1656
156,169963.11.peg.156,942
157,169963.11.peg.157,705
158,169963.11.peg.158,720
159,169963.11.peg.159,681
160,169963.11.peg.160,2340
161,169963.11.peg.161,813
162,169963.11.peg.162,2382
163,169963.11.peg.163,1458
164,169963.11.peg.164,831
165,169963.11.peg.165,969
166,169963.11.peg.166,834
167,169963.11.peg.167,390
168,169963.11.peg.168,774
169,169963.11.peg.169,273
170,169963.11.peg.170,882
171,169963.11.peg.171,285
172,169963.11.peg.172,858
173,169963.11.peg.173,1260
174,169963.11.peg.174,186
175,169963.11.peg.175,2313
176,169963.11.peg.176,339
177,169963.11.peg.177,291
178,169963.11.peg.178,150
179,169963.11.peg.179,306
180,169963.11.peg.180,1248
181,169963.11.peg.181,861
182,169963.11.peg.182,1998
183,169963.11.peg.183,1215
184,169963.11.peg.184,879
185,169963.11.peg.185,849
186,169963.11.peg.186,1257
187,169963.11.peg.187,3303
188,169963.11.peg.188,2292
189,169963.11.peg.189,1662
190,169963.11.peg.190,774
191,169963.11.peg.191,1227
192,169963.11.peg.192,576
193,169963.11.peg.193,888
194,169963.11.peg.194,258
195,169963.11.peg.195,882
196,169963.11.peg.196,738
197,169963.11.peg.197,819
198,169963.11.peg.198,678
199,169963.11.peg.199,693
200,169963.11.peg.200,1209
201,169963.11.peg.201,309
202,169963.11.peg.202,309
203,169963.11.peg.203,1374
204,169963.11.peg.204,957
205,169963.11.peg.205,714
206,169963.11.peg.206,954
207,169963.11.peg.207,1590
208,169963.11.peg.208,1533
209,169963.11.peg.209,1920
210,169963.11.peg.210,843
211,169963.11.peg.211,120
212,169963.11.peg.212,462
213,169963.11.peg.213,333
214,169963.11.peg.214,675
215,169963.11.peg.215,942
216,169963.11.peg.216,624
217,169963.11.peg.217,585
218,169963.11.peg.218,561
219,169963.11.peg.219,3540
220,169963.11.peg.220,1590
221,169963.11.peg.221,279
222,169963.11.peg.222,387
223,169963.11.peg.223,429
224,169963.11.peg.224,1947
225,169963.11.peg.225,2076
226,169963.11.peg.226,780
227,169963.11.peg.227,885
228,169963.11.peg.228,927
229,169963.11.peg.229,150
230,169963.11.peg.230,150
231,169963.11.peg.231,168
232,169963.11.peg.232,786
233,169963.11.peg.233,375
234,169963.11.peg.234,480
235,169963.11.peg.235,996
236,169963.11.pg.1,298
237,169963.11.peg.236,1497
238,169963.11.rna.2,1521
239,169963.11.rna.3,2932
240,169963.11.rna.4,116
241,169963.11.rna.5,73
242,169963.11.rna.6,76
243,169963.11.rna.7,73
244,169963.11.rna.8,82
245,169963.11.rna.9,72
246,169963.11.rna.10,86
247,169963.11.rna.11,74
248,169963.11.rna.12,74
249,169963.11.rna.13,76
250,169963.11.rna.14,1521
251,169963.11.rna.15,2932
252,169963.11.rna.16,116
253,169963.11.peg.237,459
254,169963.11.peg.238,519
255,169963.11.peg.239,1023
256,169963.11.peg.240,2463
257,169963.11.peg.241,1374
258,169963.11.peg.242,1074
259,169963.11.peg.243,699
260,169963.11.peg.244,474
261,169963.11.peg.245,1476
262,169963.11.peg.246,615
263,169963.11.peg.247,1416
264,169963.11.peg.248,411
265,169963.11.peg.249,756
266,169963.11.peg.250,513
267,169963.11.peg.251,606
268,169963.11.peg.252,150
269,169963.11.peg.253,180
270,169963.11.peg.254,534
271,169963.11.peg.255,471
272,169963.11.peg.256,426
273,169963.11.peg.257,690
274,169963.11.peg.258,501
275,169963.11.peg.259,363
276,169963.11.peg.260,387
277,169963.11.peg.261,945
278,169963.11.peg.262,663
279,169963.11.peg.263,504
280,169963.11.peg.264,606
281,169963.11.peg.265,1179
282,169963.11.peg.266,3555
283,169963.11.peg.267,3606
284,169963.11.peg.268,546
285,169963.11.peg.269,1461
286,169963.11.peg.270,1473
287,169963.11.peg.271,1647
288,169963.11.peg.272,1500
289,169963.11.peg.273,1140
290,169963.11.peg.274,417
291,169963.11.peg.275,960
292,169963.11.peg.276,636
293,169963.11.peg.277,1887
294,169963.11.peg.278,630
295,169963.11.peg.279,1437
296,169963.11.peg.280,813
297,169963.11.peg.281,540
298,169963.11.peg.282,663
299,169963.11.peg.283,843
300,169963.11.peg.284,822
301,169963.11.peg.285,975
302,169963.11.peg.286,1101
303,169963.11.peg.287,2133
304,169963.11.peg.288,552
305,169963.11.peg.289,672
306,169963.11.peg.290,780
307,169963.11.peg.291,663
308,169963.11.peg.292,1017
309,169963.11.peg.293,822
310,169963.11.peg.294,240
311,169963.11.peg.295,1182
312,169963.11.peg.296,714
313,169963.11.peg.297,1833
314,169963.11.peg.298,1323
315,169963.11.peg.299,840
316,169963.11.peg.300,831
317,169963.11.peg.301,1503
318,169963.11.peg.302,480
319,169963.11.peg.303,864
320,169963.11.peg.304,738
321,169963.11.peg.305,639
322,169963.11.peg.306,1872
323,169963.11.peg.307,1314
324,169963.11.peg.308,291
325,169963.11.peg.309,1392
326,169963.11.peg.310,342
327,169963.11.peg.311,288
328,169963.11.peg.312,555
329,169963.11.peg.313,1266
330,169963.11.peg.314,1077
331,169963.11.peg.315,384
332,169963.11.peg.316,1146
333,169963.11.pg.2,428
334,169963.11.peg.317,276
335,169963.11.peg.318,1662
336,169963.11.peg.319,1077
337,169963.11.peg.320,621
338,169963.11.peg.321,1203
339,169963.11.peg.322,738
340,169963.11.peg.323,786
341,169963.11.peg.324,675
342,169963.11.peg.325,810
343,169963.11.peg.326,804
344,169963.11.peg.327,645
345,169963.11.peg.328,1416
346,169963.11.peg.329,1200
347,169963.11.peg.330,660
348,169963.11.peg.331,393
349,169963.11.peg.332,771
350,169963.11.peg.333,483
351,169963.11.peg.334,903
352,169963.11.peg.335,873
353,169963.11.peg.336,3942
354,169963.11.peg.337,681
355,169963.11.peg.338,306
356,169963.11.peg.339,837
357,169963.11.peg.340,1902
358,169963.11.peg.341,336
359,169963.11.peg.342,5337
360,169963.11.peg.343,525
361,169963.11.peg.344,189
362,169963.11.peg.345,285
363,169963.11.peg.346,369
364,169963.11.peg.347,1476
365,169963.11.peg.348,381
366,169963.11.peg.349,372
367,169963.11.peg.350,219
368,169963.11.peg.351,333
369,169963.11.peg.352,1998
370,169963.11.peg.353,657
371,169963.11.peg.354,765
372,169963.11.peg.355,447
373,169963.11.peg.356,765
374,169963.11.peg.357,651
375,169963.11.peg.358,996
376,169963.11.peg.359,342
377,169963.11.peg.360,432
378,169963.11.peg.361,378
379,169963.11.peg.362,765
380,169963.11.peg.363,414
381,169963.11.peg.364,1527
382,169963.11.peg.365,1521
383,169963.11.peg.366,1017
384,169963.11.peg.367,447
385,169963.11.peg.368,1395
386,169963.11.peg.369,861
387,169963.11.peg.370,771
388,169963.11.peg.371,228
389,169963.11.peg.372,642
390,169963.11.peg.373,180
391,169963.11.peg.374,621
392,169963.11.peg.375,945
393,169963.11.peg.376,138
394,169963.11.peg.377,1449
395,169963.11.peg.378,1161
396,169963.11.peg.379,1266
397,169963.11.peg.380,510
398,169963.11.peg.381,720
399,169963.11.peg.382,336
400,169963.11.peg.383,714
401,169963.11.peg.384,1443
402,169963.11.peg.385,1335
403,169963.11.peg.386,303
404,169963.11.peg.387,195
405,169963.11.peg.388,921
406,169963.11.peg.389,420
407,169963.11.peg.390,447
408,169963.11.peg.391,456
409,169963.11.peg.392,150
410,169963.11.peg.393,630
411,169963.11.peg.394,387
412,169963.11.peg.395,762
413,169963.11.peg.396,1467
414,169963.11.peg.397,822
415,169963.11.peg.398,978
416,169963.11.peg.399,1920
417,169963.11.peg.400,372
418,169963.11.peg.401,369
419,169963.11.peg.402,1116
420,169963.11.peg.403,666
421,169963.11.peg.404,300
422,169963.11.peg.405,945
423,169963.11.peg.406,450
424,169963.11.peg.407,633
425,169963.11.peg.408,426
426,169963.11.peg.409,801
427,169963.11.peg.410,483
428,169963.11.peg.411,459
429,169963.11.peg.412,333
430,169963.11.peg.413,1113
431,169963.11.peg.414,2628
432,169963.11.peg.415,1935
433,169963.11.peg.416,417
434,169963.11.peg.417,399
435,169963.11.peg.418,1008
436,169963.11.peg.419,381
437,169963.11.peg.420,393
438,169963.11.peg.421,423
439,169963.11.peg.422,2466
440,169963.11.peg.423,753
441,169963.11.peg.424,1593
442,169963.11.peg.425,879
443,169963.11.peg.426,192
444,169963.11.peg.427,810
445,169963.11.peg.428,1266
446,169963.11.peg.429,204
447,169963.11.peg.430,411
448,169963.11.peg.431,300
449,169963.11.peg.432,555
450,169963.11.peg.433,813
451,169963.11.peg.434,1251
452,169963.11.peg.435,432
453,169963.11.peg.436,549
454,169963.11.peg.437,858
455,169963.11.peg.438,1962
456,169963.11.peg.439,465
457,169963.11.peg.440,321
458,169963.11.peg.441,1107
459,169963.11.peg.442,2583
460,169963.11.peg.443,876
461,169963.11.peg.444,570
462,169963.11.peg.445,747
463,169963.11.peg.446,2403
464,169963.11.peg.447,1893
465,169963.11.peg.448,153
466,169963.11.peg.449,210
467,169963.11.peg.450,6042
468,169963.11.peg.451,486
469,169963.11.peg.452,846
470,169963.11.peg.453,636
471,169963.11.peg.454,1269
472,169963.11.peg.455,504
473,169963.11.peg.456,2037
474,169963.11.peg.457,315
475,169963.11.peg.458,930
476,169963.11.peg.459,2781
477,169963.11.peg.460,1488
478,169963.11.peg.461,990
479,169963.11.peg.462,1389
480,169963.11.peg.463,1452
481,169963.11.peg.464,156
482,169963.11.peg.465,726
483,169963.11.peg.466,666
484,169963.11.peg.467,756
485,169963.11.peg.468,2160
486,169963.11.peg.469,1149
487,169963.11.peg.470,948
488,169963.11.peg.471,1596
489,169963.11.peg.472,1284
490,169963.11.peg.473,1101
491,169963.11.peg.474,1551
492,169963.11.peg.475,129
493,169963.11.peg.476,132
494,169963.11.peg.477,1539
495,169963.11.peg.478,2070
496,169963.11.peg.479,474
497,169963.11.peg.480,486
498,169963.11.peg.481,306
499,169963.11.peg.482,144
500,169963.11.peg.483,159
501,169963.11.peg.484,1731
502,169963.11.peg.485,873
503,169963.11.peg.486,114
504,169963.11.peg.487,630
505,169963.11.peg.488,1011
506,169963.11.peg.489,816
507,169963.11.peg.490,936
508,169963.11.peg.491,348
509,169963.11.peg.492,174
510,169963.11.peg.493,978
511,169963.11.peg.494,138
512,169963.11.peg.495,150
513,169963.11.peg.496,378
514,169963.11.peg.497,378
515,169963.11.peg.498,360
516,169963.11.peg.499,561
517,169963.11.peg.500,1701
518,169963.11.peg.501,1104
519,169963.11.peg.502,480
520,169963.11.peg.503,366
521,169963.11.peg.504,576
522,169963.11.peg.505,171
523,169963.11.peg.506,729
524,169963.11.peg.507,894
525,169963.11.peg.508,1995
526,169963.11.peg.509,876
527,169963.11.peg.510,759
528,169963.11.peg.511,909
529,169963.11.peg.512,1761
530,169963.11.peg.513,594
531,169963.11.peg.514,960
532,169963.11.peg.515,225
533,169963.11.peg.516,1509
534,169963.11.peg.517,450
535,169963.11.peg.518,669
536,169963.11.peg.519,651
537,169963.11.peg.520,2061
538,169963.11.peg.521,603
539,169963.11.peg.522,468
540,169963.11.peg.523,399
541,169963.11.peg.524,651
542,169963.11.peg.525,1047
543,169963.11.peg.526,294
544,169963.11.peg.527,1272
545,169963.11.peg.528,936
546,169963.11.peg.529,579
547,169963.11.peg.530,681
548,169963.11.peg.531,363
549,169963.11.peg.532,459
550,169963.11.peg.533,1818
551,169963.11.peg.534,435
552,169963.11.peg.535,1431
553,169963.11.peg.536,816
554,169963.11.peg.537,369
555,169963.11.peg.538,1416
556,169963.11.peg.539,1008
557,169963.11.peg.540,1317
558,169963.11.peg.541,753
559,169963.11.peg.542,444
560,169963.11.peg.543,1662
561,169963.11.peg.544,1332
562,169963.11.peg.545,741
563,169963.11.peg.546,1476
564,169963.11.peg.547,1497
565,169963.11.peg.548,1251
566,169963.11.peg.549,2052
567,169963.11.peg.550,855
568,169963.11.peg.551,831
569,169963.11.peg.552,270
570,169963.11.peg.553,1356
571,169963.11.peg.554,969
572,169963.11.peg.555,1323
573,169963.11.peg.556,1272
574,169963.11.peg.557,1182
575,169963.11.peg.558,1017
576,169963.11.peg.559,1194
577,169963.11.peg.560,921
578,169963.11.peg.561,351
579,169963.11.peg.562,987
580,169963.11.peg.563,522
581,169963.11.peg.564,381
582,169963.11.peg.565,1251
583,169963.11.peg.566,948
584,169963.11.peg.567,666
585,169963.11.peg.568,2022
586,169963.11.peg.569,297
587,169963.11.peg.570,843
588,169963.11.peg.571,1032
589,169963.11.peg.572,636
590,169963.11.peg.573,1182
591,169963.11.peg.574,1479
592,169963.11.peg.575,708
593,169963.11.peg.576,696
594,169963.11.peg.577,1041
595,169963.11.peg.578,906
596,169963.11.peg.579,1377
597,169963.11.peg.580,312
598,169963.11.peg.581,318
599,169963.11.peg.582,756
600,169963.11.peg.583,723
601,169963.11.peg.584,627
602,169963.11.peg.585,585
603,169963.11.peg.586,1284
604,169963.11.peg.587,642
605,169963.11.peg.588,1182
606,169963.11.peg.589,912
607,169963.11.peg.590,297
608,169963.11.peg.591,1032
609,169963.11.peg.592,1296
610,169963.11.peg.593,1395
611,169963.11.peg.594,729
612,169963.11.peg.595,1464
613,169963.11.peg.596,459
614,169963.11.peg.597,753
615,169963.11.peg.598,210
616,169963.11.peg.599,663
617,169963.11.peg.600,1185
618,169963.11.peg.601,1449
619,169963.11.peg.602,2331
620,169963.11.peg.603,1173
621,169963.11.peg.604,714
622,169963.11.peg.605,1026
623,169963.11.peg.606,2466
624,169963.11.peg.607,1404
625,169963.11.peg.608,414
626,169963.11.peg.609,1770
627,169963.11.peg.610,771
628,169963.11.peg.611,543
629,169963.11.peg.612,801
630,169963.11.peg.613,1107
631,169963.11.peg.614,1278
632,169963.11.peg.615,528
633,169963.11.peg.616,702
634,169963.11.peg.617,549
635,169963.11.peg.618,333
636,169963.11.peg.619,591
637,169963.11.peg.620,1101
638,169963.11.peg.621,504
639,169963.11.peg.622,387
640,169963.11.peg.623,345
641,169963.11.peg.624,1341
642,169963.11.peg.625,414
643,169963.11.peg.626,1725
644,169963.11.peg.627,1818
645,169963.11.peg.628,300
646,169963.11.peg.629,1770
647,169963.11.peg.630,627
648,169963.11.peg.631,372
649,169963.11.peg.632,942
650,169963.11.peg.633,534
651,169963.11.peg.634,246
652,169963.11.peg.635,1752
653,169963.11.peg.636,495
654,169963.11.peg.637,1143
655,169963.11.peg.638,456
656,169963.11.peg.639,393
657,169963.11.peg.640,741
658,169963.11.peg.641,279
659,169963.11.peg.642,267
660,169963.11.peg.643,444
661,169963.11.peg.644,702
662,169963.11.peg.645,1680
663,169963.11.peg.646,4749
664,169963.11.peg.647,279
665,169963.11.peg.648,528
666,169963.11.peg.649,2031
667,169963.11.peg.650,453
668,169963.11.peg.651,1062
669,169963.11.peg.652,309
670,169963.11.peg.653,1269
671,169963.11.peg.654,705
672,169963.11.peg.655,417
673,169963.11.peg.656,594
674,169963.11.rna.17,90
675,169963.11.peg.657,630
676,169963.11.peg.658,534
677,169963.11.peg.659,852
678,169963.11.peg.660,1881
679,169963.11.peg.661,729
680,169963.11.peg.662,138
681,169963.11.peg.663,651
682,169963.11.peg.664,1821
683,169963.11.peg.665,1392
684,169963.11.peg.666,840
685,169963.11.peg.667,285
686,169963.11.peg.668,951
687,169963.11.peg.669,642
688,169963.11.peg.670,2691
689,169963.11.peg.671,648
690,169963.11.peg.672,537
691,169963.11.peg.673,924
692,169963.11.peg.674,210
693,169963.11.peg.675,708
694,169963.11.peg.676,564
695,169963.11.peg.677,417
696,169963.11.peg.678,636
697,169963.11.peg.679,897
698,169963.11.peg.680,285
699,169963.11.peg.681,309
700,169963.11.peg.682,816
701,169963.11.peg.683,867
702,169963.11.peg.684,564
703,169963.11.peg.685,264
704,169963.11.peg.686,378
705,169963.11.peg.687,936
706,169963.11.peg.688,771
707,169963.11.peg.689,117
708,169963.11.peg.690,885
709,169963.11.peg.691,177
710,169963.11.peg.692,609
711,169963.11.peg.693,429
712,169963.11.peg.694,210
713,169963.11.peg.695,921
714,169963.11.peg.696,315
715,169963.11.peg.697,768
716,169963.11.peg.698,273
717,169963.11.peg.699,762
718,169963.11.peg.700,1047
719,169963.11.peg.701,2076
720,169963.11.peg.702,1224
721,169963.11.peg.703,780
722,169963.11.peg.704,789
723,169963.11.peg.705,336
724,169963.11.peg.706,792
725,169963.11.peg.707,828
726,169963.11.peg.708,501
727,169963.11.peg.709,1914
728,169963.11.peg.710,909
729,169963.11.peg.711,864
730,169963.11.peg.712,360
731,169963.11.peg.713,1857
732,169963.11.peg.714,300
733,169963.11.peg.715,411
734,169963.11.peg.716,1047
735,169963.11.peg.717,423
736,169963.11.peg.718,1236
737,169963.11.peg.719,237
738,169963.11.peg.720,993
739,169963.11.peg.721,1548
740,169963.11.peg.722,1404
741,169963.11.peg.723,1167
742,169963.11.peg.724,465
743,169963.11.peg.725,429
744,169963.11.peg.726,1521
745,169963.11.peg.727,876
746,169963.11.peg.728,1290
747,169963.11.peg.729,387
748,169963.11.peg.730,282
749,169963.11.peg.731,402
750,169963.11.peg.732,411
751,169963.11.peg.733,297
752,169963.11.peg.734,1653
753,169963.11.peg.735,1107
754,169963.11.peg.736,693
755,169963.11.peg.737,1302
756,169963.11.peg.738,669
757,169963.11.peg.739,645
758,169963.11.peg.740,327
759,169963.11.peg.741,324
760,169963.11.peg.742,648
761,169963.11.peg.743,1731
762,169963.11.peg.744,1806
763,169963.11.peg.745,729
764,169963.11.peg.746,213
765,169963.11.peg.747,144
766,169963.11.peg.748,150
767,169963.11.peg.749,1806
768,169963.11.peg.750,741
769,169963.11.peg.751,480
770,169963.11.peg.752,339
771,169963.11.peg.753,405
772,169963.11.peg.754,132
773,169963.11.peg.755,1917
774,169963.11.peg.756,510
775,169963.11.peg.757,1005
776,169963.11.peg.758,672
777,169963.11.peg.759,447
778,169963.11.peg.760,933
779,169963.11.peg.761,1854
780,169963.11.peg.762,1374
781,169963.11.peg.763,660
782,169963.11.peg.764,378
783,169963.11.peg.765,690
784,169963.11.peg.766,705
785,169963.11.peg.767,2001
786,169963.11.peg.768,504
787,169963.11.peg.769,300
788,169963.11.peg.770,288
789,169963.11.peg.771,288
790,169963.11.peg.772,207
791,169963.11.peg.773,516
792,169963.11.peg.774,297
793,169963.11.peg.775,837
794,169963.11.peg.776,681
795,169963.11.peg.777,612
796,169963.11.peg.778,822
797,169963.11.peg.779,906
798,169963.11.peg.780,981
799,169963.11.peg.781,888
800,169963.11.peg.782,960
801,169963.11.peg.783,609
802,169963.11.peg.784,621
803,169963.11.peg.785,1257
804,169963.11.peg.786,873
805,169963.11.peg.787,990
806,169963.11.peg.788,1299
807,169963.11.peg.789,891
808,169963.11.peg.790,876
809,169963.11.peg.791,1254
810,169963.11.peg.792,1029
811,169963.11.peg.793,1119
812,169963.11.peg.794,753
813,169963.11.peg.795,648
814,169963.11.peg.796,990
815,169963.11.peg.797,930
816,169963.11.peg.798,333
817,169963.11.peg.799,867
818,169963.11.peg.800,384
819,169963.11.peg.801,219
820,169963.11.peg.802,468
821,169963.11.pg.3,364
822,169963.11.peg.803,348
823,169963.11.peg.804,879
824,169963.11.peg.805,813
825,169963.11.peg.806,486
826,169963.11.peg.807,435
827,169963.11.peg.808,2817
828,169963.11.peg.809,636
829,169963.11.peg.810,1377
830,169963.11.peg.811,4428
831,169963.11.peg.812,849
832,169963.11.peg.813,477
833,169963.11.peg.814,651
834,169963.11.peg.815,891
835,169963.11.peg.816,702
836,169963.11.peg.817,642
837,169963.11.peg.818,921
838,169963.11.peg.819,531
839,169963.11.peg.820,465
840,169963.11.peg.821,1461
841,169963.11.peg.822,762
842,169963.11.peg.823,351
843,169963.11.peg.824,1941
844,169963.11.peg.825,639
845,169963.11.peg.826,2049
846,169963.11.peg.827,471
847,169963.11.peg.828,462
848,169963.11.peg.829,543
849,169963.11.peg.830,1101
850,169963.11.peg.831,810
851,169963.11.peg.832,807
852,169963.11.peg.833,1074
853,169963.11.peg.834,702
854,169963.11.peg.835,543
855,169963.11.peg.836,873
856,169963.11.peg.837,930
857,169963.11.peg.838,453
858,169963.11.peg.839,507
859,169963.11.peg.840,414
860,169963.11.peg.841,2631
861,169963.11.peg.842,849
862,169963.11.peg.843,558
863,169963.11.peg.844,663
864,169963.11.peg.845,390
865,169963.11.peg.846,825
866,169963.11.peg.847,969
867,169963.11.peg.848,1281
868,169963.11.peg.849,1635
869,169963.11.peg.850,306
870,169963.11.peg.851,837
871,169963.11.peg.852,3648
872,169963.11.peg.853,1962
873,169963.11.peg.854,912
874,169963.11.peg.855,285
875,169963.11.peg.856,891
876,169963.11.peg.857,588
877,169963.11.peg.858,1005
878,169963.11.peg.859,414
879,169963.11.peg.860,1638
880,169963.11.peg.861,1386
881,169963.11.pg.4,410
882,169963.11.peg.862,1221
883,169963.11.peg.863,471
884,169963.11.peg.864,2643
885,169963.11.peg.865,6135
886,169963.11.peg.866,258
887,169963.11.peg.867,378
888,169963.11.peg.868,1104
889,169963.11.peg.869,1101
890,169963.11.peg.870,1443
891,169963.11.peg.871,729
892,169963.11.peg.872,1851
893,169963.11.peg.873,132
894,169963.11.peg.874,147
895,169963.11.peg.875,759
896,169963.11.peg.876,555
897,169963.11.peg.877,342
898,169963.11.peg.878,321
899,169963.11.peg.879,1113
900,169963.11.peg.880,1413
901,169963.11.peg.881,714
902,169963.11.pg.5,491
903,169963.11.peg.882,1026
904,169963.11.peg.883,1320
905,169963.11.peg.884,756
906,169963.11.peg.885,765
907,169963.11.peg.886,1533
908,169963.11.peg.887,915
909,169963.11.peg.888,1068
910,169963.11.peg.889,1674
911,169963.11.peg.890,1563
912,169963.11.peg.891,177
913,169963.11.peg.892,489
914,169963.11.peg.893,558
915,169963.11.peg.894,999
916,169963.11.peg.895,312
917,169963.11.peg.896,354
918,169963.11.peg.897,1167
919,169963.11.peg.898,2019
920,169963.11.peg.899,330
921,169963.11.peg.900,336
922,169963.11.peg.901,1326
923,169963.11.peg.902,729
924,169963.11.peg.903,954
925,169963.11.peg.904,768
926,169963.11.peg.905,1389
927,169963.11.peg.906,480
928,169963.11.peg.907,483
929,169963.11.peg.908,1476
930,169963.11.peg.909,1380
931,169963.11.peg.910,357
932,169963.11.peg.911,1107
933,169963.11.peg.912,279
934,169963.11.peg.913,345
935,169963.11.peg.914,837
936,169963.11.peg.915,357
937,169963.11.peg.916,411
938,169963.11.peg.917,1005
939,169963.11.peg.918,345
940,169963.11.peg.919,474
941,169963.11.peg.920,780
942,169963.11.peg.921,600
943,169963.11.peg.922,1566
944,169963.11.peg.923,2178
945,169963.11.peg.924,468
946,169963.11.rna.18,73
947,169963.11.rna.19,88
948,169963.11.peg.925,162
949,169963.11.peg.926,393
950,169963.11.peg.927,1287
951,169963.11.peg.928,714
952,169963.11.rna.20,72
953,169963.11.rna.21,73
954,169963.11.peg.929,381
955,169963.11.peg.930,675
956,169963.11.peg.931,498
957,169963.11.peg.932,1350
958,169963.11.peg.933,675
959,169963.11.peg.934,1137
960,169963.11.peg.935,393
961,169963.11.peg.936,1104
962,169963.11.peg.937,504
963,169963.11.peg.938,813
964,169963.11.peg.939,1467
965,169963.11.peg.940,306
966,169963.11.peg.941,1269
967,169963.11.peg.942,351
968,169963.11.peg.943,1452
969,169963.11.peg.944,1899
970,169963.11.peg.945,1572
971,169963.11.peg.946,1041
972,169963.11.peg.947,840
973,169963.11.peg.948,921
974,169963.11.peg.949,474
975,169963.11.peg.950,144
976,169963.11.peg.951,1116
