peg1,peg2,string
169963.11.peg.1745,169963.11.peg.1746,955
169963.11.peg.1746,169963.11.peg.1747,645
169963.11.peg.1751,169963.11.peg.1752,544
169963.11.peg.1754,169963.11.peg.1755,566
169963.11.peg.1761,169963.11.peg.1762,923
169963.11.peg.1762,169963.11.peg.1763,992
169963.11.peg.1763,169963.11.peg.1764,542
169963.11.peg.1769,169963.11.peg.1770,671
169963.11.peg.1770,169963.11.peg.1771,858
169963.11.peg.1771,169963.11.peg.1772,914
169963.11.peg.1773,169963.11.peg.1774,952
169963.11.peg.1774,169963.11.peg.1775,969
169963.11.peg.1776,169963.11.peg.1777,999
169963.11.peg.1779,169963.11.peg.1780,848
169963.11.peg.1781,169963.11.peg.1782,986
169963.11.peg.1782,169963.11.peg.1783,989
169963.11.peg.1784,169963.11.peg.1785,787
169963.11.peg.1785,169963.11.peg.1786,811
169963.11.peg.1786,169963.11.peg.1787,877
169963.11.peg.1787,169963.11.peg.1788,647
169963.11.peg.1788,169963.11.peg.1789,931
169963.11.peg.1789,169963.11.peg.1790,980
169963.11.peg.1795,169963.11.peg.1796,778
169963.11.peg.1798,169963.11.peg.1799,999
169963.11.peg.1799,169963.11.peg.1800,997
169963.11.peg.1800,169963.11.peg.1801,704
169963.11.peg.1801,169963.11.peg.1802,902
169963.11.peg.1802,169963.11.peg.1803,958
169963.11.peg.1806,169963.11.peg.1807,806
169963.11.peg.1808,169963.11.peg.1809,999
169963.11.peg.1809,169963.11.peg.1810,999
169963.11.peg.1810,169963.11.peg.1811,999
169963.11.peg.1811,169963.11.peg.1812,999
169963.11.peg.1812,169963.11.peg.1813,998
169963.11.peg.1813,169963.11.peg.1814,999
169963.11.peg.1814,169963.11.peg.1815,999
169963.11.peg.1815,169963.11.peg.1816,989
169963.11.peg.1816,169963.11.peg.1817,999
169963.11.peg.1817,169963.11.peg.1818,943
169963.11.peg.1818,169963.11.peg.1819,999
169963.11.peg.181,169963.11.peg.182,625
169963.11.peg.1822,169963.11.peg.1823,679
169963.11.peg.1827,169963.11.peg.1828,999
169963.11.peg.1828,169963.11.peg.1829,993
169963.11.peg.1832,169963.11.peg.1833,885
169963.11.peg.1833,169963.11.peg.1834,808
169963.11.peg.1835,169963.11.peg.1836,796
169963.11.peg.1836,169963.11.peg.1837,998
169963.11.peg.1837,169963.11.peg.1838,897
169963.11.peg.1838,169963.11.peg.1839,761
169963.11.peg.1840,169963.11.peg.1841,894
169963.11.peg.1842,169963.11.peg.1843,883
169963.11.peg.1845,169963.11.peg.1846,952
169963.11.peg.1847,169963.11.peg.1848,902
169963.11.peg.1852,169963.11.peg.1853,999
169963.11.peg.1853,169963.11.peg.1854,999
169963.11.peg.1854,169963.11.peg.1855,939
169963.11.peg.1856,169963.11.peg.1857,897
169963.11.peg.1858,169963.11.peg.1859,816
169963.11.peg.1859,169963.11.peg.1860,963
169963.11.peg.1862,169963.11.peg.1863,727
169963.11.peg.1863,169963.11.peg.1864,879
169963.11.peg.1864,169963.11.peg.1865,934
169963.11.peg.1865,169963.11.peg.1866,998
169963.11.peg.1866,169963.11.peg.1867,883
169963.11.peg.1867,169963.11.peg.1868,991
169963.11.peg.1868,169963.11.peg.1869,971
169963.11.peg.1869,169963.11.peg.1870,897
169963.11.peg.1871,169963.11.peg.1872,999
169963.11.peg.1872,169963.11.peg.1873,891
169963.11.peg.1876,169963.11.peg.1877,999
169963.11.peg.1877,169963.11.peg.1878,991
169963.11.peg.1878,169963.11.peg.1879,999
169963.11.peg.1879,169963.11.peg.1880,965
169963.11.peg.1880,169963.11.peg.1881,999
169963.11.peg.1881,169963.11.peg.1882,999
169963.11.peg.1882,169963.11.peg.1883,999
169963.11.peg.1883,169963.11.peg.1884,999
169963.11.peg.1884,169963.11.peg.1885,965
169963.11.peg.1888,169963.11.peg.1889,869
169963.11.peg.1889,169963.11.peg.1890,608
169963.11.peg.1895,169963.11.peg.1896,727
169963.11.peg.1897,169963.11.peg.1898,957
169963.11.peg.1898,169963.11.peg.1899,904
169963.11.peg.1900,169963.11.peg.1901,711
169963.11.peg.1901,169963.11.peg.1902,877
169963.11.peg.1903,169963.11.peg.1904,619
169963.11.peg.1904,169963.11.peg.1905,999
169963.11.peg.1905,169963.11.peg.1906,824
169963.11.peg.1906,169963.11.peg.1907,971
169963.11.peg.1907,169963.11.peg.1908,886
169963.11.peg.1910,169963.11.peg.1911,940
169963.11.peg.1911,169963.11.peg.1912,947
169963.11.peg.1913,169963.11.peg.1914,845
169963.11.peg.1918,169963.11.peg.1919,999
169963.11.peg.1919,169963.11.peg.1920,890
169963.11.peg.1929,169963.11.peg.1930,989
169963.11.peg.192,169963.11.peg.193,989
169963.11.peg.1931,169963.11.peg.1932,866
169963.11.peg.1935,169963.11.peg.1936,856
169963.11.peg.1937,169963.11.peg.1938,879
169963.11.peg.1946,169963.11.peg.1947,999
169963.11.peg.1947,169963.11.peg.1948,999
169963.11.peg.1950,169963.11.peg.1951,970
169963.11.peg.1951,169963.11.peg.1952,962
169963.11.peg.1952,169963.11.peg.1953,956
169963.11.peg.1953,169963.11.peg.1954,897
169963.11.peg.1957,169963.11.peg.1958,817
169963.11.peg.1958,169963.11.peg.1959,962
169963.11.peg.1959,169963.11.peg.1960,937
169963.11.peg.195,169963.11.peg.196,793
169963.11.peg.1961,169963.11.peg.1962,848
169963.11.peg.1967,169963.11.peg.1968,887
169963.11.peg.1975,169963.11.peg.1976,897
169963.11.peg.1976,169963.11.peg.1977,938
169963.11.peg.1978,169963.11.peg.1979,699
169963.11.peg.1983,169963.11.peg.1984,874
169963.11.peg.1986,169963.11.peg.1987,869
169963.11.peg.1987,169963.11.peg.1988,610
169963.11.peg.1989,169963.11.peg.1990,882
169963.11.peg.198,169963.11.peg.199,931
169963.11.peg.1993,169963.11.peg.1994,816
169963.11.peg.1994,169963.11.peg.1995,998
169963.11.peg.1995,169963.11.peg.1996,668
169963.11.peg.1996,169963.11.peg.1997,938
169963.11.peg.1997,169963.11.peg.1998,999
169963.11.peg.1998,169963.11.peg.1999,878
169963.11.peg.199,169963.11.peg.200,996
169963.11.peg.2004,169963.11.peg.2005,941
169963.11.peg.2005,169963.11.peg.2006,983
169963.11.peg.2007,169963.11.peg.2008,904
169963.11.peg.2013,169963.11.peg.2014,967
169963.11.peg.201,169963.11.peg.202,558
169963.11.peg.2023,169963.11.peg.2024,899
169963.11.peg.2026,169963.11.peg.2027,738
169963.11.peg.2028,169963.11.peg.2029,893
169963.11.peg.2030,169963.11.peg.2031,999
169963.11.peg.2031,169963.11.peg.2032,998
169963.11.peg.2033,169963.11.peg.2034,972
169963.11.peg.2034,169963.11.peg.2035,999
169963.11.peg.2035,169963.11.peg.2036,999
169963.11.peg.2036,169963.11.peg.2037,999
169963.11.peg.2037,169963.11.peg.2038,951
169963.11.peg.2044,169963.11.peg.2045,832
169963.11.peg.2045,169963.11.peg.2046,897
169963.11.peg.2046,169963.11.peg.2047,867
169963.11.peg.2047,169963.11.peg.2048,997
169963.11.peg.2048,169963.11.peg.2049,996
169963.11.peg.2049,169963.11.peg.2050,809
169963.11.peg.2050,169963.11.peg.2051,969
169963.11.peg.2055,169963.11.peg.2056,995
169963.11.peg.2056,169963.11.peg.2057,996
169963.11.peg.2061,169963.11.peg.2062,965
169963.11.peg.2065,169963.11.peg.2066,831
169963.11.peg.2066,169963.11.peg.2067,613
169963.11.peg.2071,169963.11.peg.2072,998
169963.11.peg.2072,169963.11.peg.2073,998
169963.11.peg.2077,169963.11.peg.2078,891
169963.11.peg.2078,169963.11.peg.2079,920
169963.11.peg.2079,169963.11.peg.2080,749
169963.11.peg.2080,169963.11.peg.2081,997
169963.11.peg.2082,169963.11.peg.2083,956
169963.11.peg.2083,169963.11.peg.2084,994
169963.11.peg.2084,169963.11.peg.2085,970
169963.11.peg.2085,169963.11.peg.2086,977
169963.11.peg.2174,169963.11.peg.2175,978
169963.11.peg.2175,169963.11.peg.2176,999
169963.11.peg.2176,169963.11.peg.2177,999
169963.11.peg.2177,169963.11.peg.2178,944
169963.11.peg.217,169963.11.peg.218,585
169963.11.peg.218,169963.11.peg.219,827
169963.11.peg.2191,169963.11.peg.2192,988
169963.11.peg.2192,169963.11.peg.2193,801
169963.11.peg.2199,169963.11.peg.2200,663
169963.11.peg.219,169963.11.peg.220,831
169963.11.peg.2204,169963.11.peg.2205,958
169963.11.peg.2205,169963.11.peg.2206,968
169963.11.peg.220,169963.11.peg.221,851
169963.11.peg.2213,169963.11.peg.2214,951
169963.11.peg.2214,169963.11.peg.2215,944
169963.11.peg.2217,169963.11.peg.2218,437
169963.11.peg.2218,169963.11.peg.2219,646
169963.11.peg.2220,169963.11.peg.2221,761
169963.11.peg.222,169963.11.peg.223,707
169963.11.peg.2233,169963.11.peg.2234,869
169963.11.peg.2234,169963.11.peg.2235,998
169963.11.peg.2235,169963.11.peg.2236,997
169963.11.peg.2236,169963.11.peg.2237,896
169963.11.peg.2237,169963.11.peg.2238,949
169963.11.peg.2244,169963.11.peg.2245,988
169963.11.peg.2245,169963.11.peg.2246,998
169963.11.peg.2246,169963.11.peg.2247,998
169963.11.peg.2247,169963.11.peg.2248,995
169963.11.peg.2251,169963.11.peg.2252,991
169963.11.peg.2253,169963.11.peg.2254,999
169963.11.peg.2257,169963.11.peg.2258,604
169963.11.peg.2260,169963.11.peg.2261,660
169963.11.peg.2263,169963.11.peg.2264,997
169963.11.peg.2266,169963.11.peg.2267,971
169963.11.peg.2268,169963.11.peg.2269,768
169963.11.peg.226,169963.11.peg.227,925
169963.11.peg.2272,169963.11.peg.2273,838
169963.11.peg.2273,169963.11.peg.2274,989
169963.11.peg.2278,169963.11.peg.2279,940
169963.11.peg.2279,169963.11.peg.2280,892
169963.11.peg.2286,169963.11.peg.2287,804
169963.11.peg.2287,169963.11.peg.2288,849
169963.11.peg.2288,169963.11.peg.2289,977
169963.11.peg.2289,169963.11.peg.2290,613
169963.11.peg.2295,169963.11.peg.2296,801
169963.11.peg.2297,169963.11.peg.2298,868
169963.11.peg.2298,169963.11.peg.2299,851
169963.11.peg.2301,169963.11.peg.2302,992
169963.11.peg.2303,169963.11.peg.2304,989
169963.11.peg.2304,169963.11.peg.2305,652
169963.11.peg.2316,169963.11.peg.2317,604
169963.11.peg.2317,169963.11.peg.2318,799
169963.11.peg.2318,169963.11.peg.2319,865
169963.11.peg.2319,169963.11.peg.2320,995
169963.11.peg.2320,169963.11.peg.2321,512
169963.11.peg.2326,169963.11.peg.2327,738
169963.11.peg.2327,169963.11.peg.2328,845
169963.11.peg.2328,169963.11.peg.2329,765
169963.11.peg.232,169963.11.peg.233,999
169963.11.peg.233,169963.11.peg.234,999
169963.11.peg.234,169963.11.peg.235,758
169963.11.peg.235,169963.11.peg.236,749
169963.11.peg.237,169963.11.peg.238,961
169963.11.peg.2387,169963.11.peg.2388,948
169963.11.peg.238,169963.11.peg.239,999
169963.11.peg.2392,169963.11.peg.2393,999
169963.11.peg.2393,169963.11.peg.2394,968
169963.11.peg.2397,169963.11.peg.2398,993
169963.11.peg.239,169963.11.peg.240,957
169963.11.peg.2400,169963.11.peg.2401,919
169963.11.peg.2401,169963.11.peg.2402,878
169963.11.peg.2402,169963.11.peg.2403,845
169963.11.peg.2403,169963.11.peg.2404,996
169963.11.peg.2404,169963.11.peg.2405,971
169963.11.peg.2405,169963.11.peg.2406,995
169963.11.peg.2406,169963.11.peg.2407,906
169963.11.peg.2407,169963.11.peg.2408,890
169963.11.peg.2410,169963.11.peg.2411,535
169963.11.peg.2411,169963.11.peg.2412,851
169963.11.peg.2415,169963.11.peg.2416,811
169963.11.peg.2416,169963.11.peg.2417,713
169963.11.peg.2418,169963.11.peg.2419,815
169963.11.peg.2422,169963.11.peg.2423,879
169963.11.peg.2429,169963.11.peg.2430,953
169963.11.peg.242,169963.11.peg.243,943
169963.11.peg.2436,169963.11.peg.2437,999
169963.11.peg.2437,169963.11.peg.2438,995
169963.11.peg.2438,169963.11.peg.2439,998
169963.11.peg.2439,169963.11.peg.2440,995
169963.11.peg.243,169963.11.peg.244,999
169963.11.peg.2440,169963.11.peg.2441,993
169963.11.peg.2441,169963.11.peg.2442,988
169963.11.peg.244,169963.11.peg.245,891
169963.11.peg.2450,169963.11.peg.2451,904
169963.11.peg.2455,169963.11.peg.2456,553
169963.11.peg.2457,169963.11.peg.2458,756
169963.11.peg.2458,169963.11.peg.2459,688
169963.11.peg.2459,169963.11.peg.2460,910
169963.11.peg.2460,169963.11.peg.2461,927
169963.11.peg.2462,169963.11.peg.2463,977
169963.11.peg.246,169963.11.peg.247,971
169963.11.peg.2475,169963.11.peg.2476,999
169963.11.peg.2476,169963.11.peg.2477,999
169963.11.peg.2478,169963.11.peg.2479,614
169963.11.peg.2479,169963.11.peg.2480,993
169963.11.peg.247,169963.11.peg.248,993
169963.11.peg.248,169963.11.peg.249,926
169963.11.peg.2498,169963.11.peg.2499,767
169963.11.peg.249,169963.11.peg.250,983
169963.11.peg.2507,169963.11.peg.2508,979
169963.11.peg.2508,169963.11.peg.2509,758
169963.11.peg.2509,169963.11.peg.2510,477
169963.11.peg.250,169963.11.peg.251,989
169963.11.peg.2510,169963.11.peg.2511,608
169963.11.peg.2511,169963.11.peg.2512,503
169963.11.peg.2512,169963.11.peg.2513,530
169963.11.peg.2522,169963.11.peg.2523,849
169963.11.peg.2523,169963.11.peg.2524,811
169963.11.peg.252,169963.11.peg.253,953
169963.11.peg.2531,169963.11.peg.2532,949
169963.11.peg.2532,169963.11.peg.2533,980
169963.11.peg.2533,169963.11.peg.2534,978
169963.11.peg.2535,169963.11.peg.2536,770
169963.11.peg.2536,169963.11.peg.2537,985
169963.11.peg.2538,169963.11.peg.2539,751
169963.11.peg.2540,169963.11.peg.2541,915
169963.11.peg.2541,169963.11.peg.2542,981
169963.11.peg.2542,169963.11.peg.2543,790
169963.11.peg.2544,169963.11.peg.2545,906
169963.11.peg.2545,169963.11.peg.2546,928
169963.11.peg.2546,169963.11.peg.2547,737
169963.11.peg.2548,169963.11.peg.2549,999
169963.11.peg.2550,169963.11.peg.2551,833
169963.11.peg.2551,169963.11.peg.2552,787
169963.11.peg.2552,169963.11.peg.2553,566
169963.11.peg.2560,169963.11.peg.2561,999
169963.11.peg.2562,169963.11.peg.2563,777
169963.11.peg.2565,169963.11.peg.2566,922
169963.11.peg.2566,169963.11.peg.2567,997
169963.11.peg.2568,169963.11.peg.2569,897
169963.11.peg.256,169963.11.peg.257,999
169963.11.peg.2575,169963.11.peg.2576,863
169963.11.peg.2577,169963.11.peg.2578,851
169963.11.peg.2580,169963.11.peg.2581,845
169963.11.peg.2581,169963.11.peg.2582,852
169963.11.peg.2585,169963.11.peg.2586,802
169963.11.peg.2589,169963.11.peg.2590,998
169963.11.peg.258,169963.11.peg.259,999
169963.11.peg.2590,169963.11.peg.2591,998
169963.11.peg.2591,169963.11.peg.2592,999
169963.11.peg.2592,169963.11.peg.2593,998
169963.11.peg.2593,169963.11.peg.2594,999
169963.11.peg.2594,169963.11.peg.2595,995
169963.11.peg.2595,169963.11.peg.2596,993
169963.11.peg.2596,169963.11.peg.2597,897
169963.11.peg.2598,169963.11.peg.2599,710
169963.11.peg.2601,169963.11.peg.2602,897
169963.11.peg.2604,169963.11.peg.2605,994
169963.11.peg.260,169963.11.peg.261,977
169963.11.peg.2610,169963.11.peg.2611,697
169963.11.peg.2612,169963.11.peg.2613,610
169963.11.peg.2614,169963.11.peg.2615,545
169963.11.peg.2615,169963.11.peg.2616,954
169963.11.peg.2616,169963.11.peg.2617,990
169963.11.peg.2624,169963.11.peg.2625,897
169963.11.peg.2628,169963.11.peg.2629,882
169963.11.peg.2633,169963.11.peg.2634,779
169963.11.peg.2634,169963.11.peg.2635,848
169963.11.peg.2635,169963.11.peg.2636,857
169963.11.peg.2637,169963.11.peg.2638,688
169963.11.peg.2641,169963.11.peg.2642,831
169963.11.peg.2646,169963.11.peg.2647,991
169963.11.peg.2649,169963.11.peg.2650,968
169963.11.peg.2656,169963.11.peg.2657,865
169963.11.peg.2660,169963.11.peg.2661,999
169963.11.peg.2662,169963.11.peg.2663,918
169963.11.peg.2663,169963.11.peg.2664,998
169963.11.peg.2664,169963.11.peg.2665,999
169963.11.peg.2666,169963.11.peg.2667,545
169963.11.peg.266,169963.11.peg.267,999
169963.11.peg.2700,169963.11.peg.2701,814
169963.11.peg.2701,169963.11.peg.2702,826
169963.11.peg.2705,169963.11.peg.2706,944
169963.11.peg.2706,169963.11.peg.2707,980
169963.11.peg.2707,169963.11.peg.2708,681
169963.11.peg.2709,169963.11.peg.2710,761
169963.11.peg.2712,169963.11.peg.2713,898
169963.11.peg.2713,169963.11.peg.2714,958
169963.11.peg.2714,169963.11.peg.2715,901
169963.11.peg.2716,169963.11.peg.2717,971
169963.11.peg.2719,169963.11.peg.2720,990
169963.11.peg.2720,169963.11.peg.2721,998
169963.11.peg.2721,169963.11.peg.2722,999
