tag,gc_ratio
169963.11.peg.143,0.425474255
169963.11.peg.144,0.400766284
169963.11.peg.145,0.251028807
169963.11.peg.146,0.282913165
169963.11.peg.147,0.265536723
169963.11.peg.148,0.261261261
169963.11.peg.149,0.29468599
169963.11.peg.150,0.269406393
169963.11.peg.151,0.287749288
169963.11.peg.152,0.383495146
169963.11.peg.153,0.275956284
169963.11.peg.154,0.301470588
169963.11.peg.155,0.411231884
169963.11.peg.156,0.393842887
169963.11.peg.157,0.390070922
169963.11.peg.158,0.418055556
169963.11.peg.159,0.298091043
169963.11.peg.160,0.397008547
169963.11.peg.161,0.370233702
169963.11.peg.162,0.405961377
169963.11.peg.163,0.384087791
169963.11.peg.164,0.368231047
169963.11.peg.165,0.424148607
169963.11.peg.166,0.420863309
169963.11.peg.167,0.4
169963.11.peg.168,0.375968992
169963.11.peg.169,0.373626374
169963.11.peg.170,0.4138322
169963.11.peg.171,0.368421053
169963.11.peg.172,0.375291375
169963.11.peg.173,0.366666667
169963.11.peg.174,0.397849462
169963.11.peg.175,0.35970601
169963.11.peg.176,0.362831858
169963.11.peg.177,0.367697595
169963.11.peg.178,0.326666667
169963.11.peg.179,0.343137255
169963.11.peg.180,0.363782051
169963.11.peg.181,0.383275261
169963.11.peg.182,0.384384384
169963.11.peg.183,0.367078189
169963.11.peg.184,0.375426621
169963.11.peg.185,0.369846879
169963.11.peg.186,0.370723946
169963.11.peg.187,0.397517408
169963.11.peg.188,0.402705061
169963.11.peg.189,0.388688327
169963.11.peg.190,0.401808786
169963.11.peg.191,0.360228199
169963.11.peg.192,0.409722222
169963.11.peg.193,0.385135135
169963.11.peg.194,0.348837209
169963.11.peg.195,0.4138322
169963.11.peg.196,0.395663957
169963.11.peg.197,0.398046398
169963.11.peg.198,0.368731563
169963.11.peg.199,0.402597403
169963.11.peg.200,0.382961125
169963.11.peg.201,0.42394822
169963.11.peg.202,0.404530744
169963.11.peg.203,0.387918486
169963.11.peg.204,0.389759666
169963.11.peg.205,0.333333333
169963.11.peg.206,0.353249476
169963.11.peg.207,0.359748428
169963.11.peg.208,0.38421396
169963.11.peg.209,0.400520833
169963.11.peg.210,0.355871886
169963.11.peg.211,0.333333333
169963.11.peg.212,0.337662338
169963.11.peg.213,0.405405405
169963.11.peg.214,0.374814815
169963.11.peg.215,0.394904459
169963.11.peg.216,0.389423077
169963.11.peg.217,0.377777778
169963.11.peg.218,0.374331551
169963.11.peg.219,0.405932203
169963.11.peg.220,0.420754717
169963.11.peg.221,0.365591398
169963.11.peg.222,0.366925065
169963.11.peg.223,0.398601399
169963.11.peg.224,0.38315357
169963.11.peg.225,0.418111753
169963.11.peg.226,0.406410256
169963.11.peg.227,0.413559322
169963.11.peg.228,0.420711974
169963.11.peg.229,0.353333333
169963.11.peg.230,0.34
169963.11.peg.231,0.386904762
169963.11.peg.232,0.423664122
169963.11.peg.233,0.362666667
169963.11.peg.234,0.36875
169963.11.peg.235,0.426706827
169963.11.peg.236,0.394121576
169963.11.peg.237,0.309368192
169963.11.peg.238,0.389210019
169963.11.peg.239,0.367546432
169963.11.peg.240,0.405196914
169963.11.peg.241,0.414847162
169963.11.peg.242,0.355679702
169963.11.peg.243,0.427753934
169963.11.peg.244,0.417721519
169963.11.peg.245,0.378726287
169963.11.peg.246,0.448780488
169963.11.peg.247,0.403954802
169963.11.peg.248,0.416058394
169963.11.peg.249,0.41005291
169963.11.peg.250,0.409356725
169963.11.peg.251,0.382838284
169963.11.peg.252,0.393333333
169963.11.peg.253,0.311111111
169963.11.peg.254,0.387640449
169963.11.peg.255,0.35881104
169963.11.peg.256,0.408450704
169963.11.peg.257,0.398550725
169963.11.peg.258,0.405189621
169963.11.peg.259,0.385674931
169963.11.peg.260,0.322997416
169963.11.peg.261,0.324867725
169963.11.peg.262,0.366515837
169963.11.peg.263,0.339285714
169963.11.peg.264,0.369636964
169963.11.peg.265,0.399491094
169963.11.peg.266,0.418846695
169963.11.peg.267,0.413477537
169963.11.peg.268,0.41025641
169963.11.peg.269,0.409993155
169963.11.peg.270,0.363883232
169963.11.peg.271,0.385549484
169963.11.peg.272,0.350666667
169963.11.peg.273,0.379824561
169963.11.peg.274,0.376498801
169963.11.peg.275,0.430208333
169963.11.peg.276,0.410377358
169963.11.peg.277,0.417064123
169963.11.peg.278,0.385714286
169963.11.peg.279,0.407794015
169963.11.peg.280,0.36900369
169963.11.peg.281,0.374074074
169963.11.peg.282,0.328808446
169963.11.peg.283,0.372479241
169963.11.peg.284,0.375912409
169963.11.peg.285,0.38974359
169963.11.peg.286,0.382379655
169963.11.peg.287,0.396155649
169963.11.peg.288,0.449275362
169963.11.peg.289,0.322916667
169963.11.peg.290,0.383333333
169963.11.peg.291,0.404223228
169963.11.peg.292,0.404129794
169963.11.peg.293,0.357664234
169963.11.peg.294,0.333333333
169963.11.peg.295,0.411167513
169963.11.peg.296,0.403361345
169963.11.peg.297,0.397163121
169963.11.peg.298,0.352229781
169963.11.peg.299,0.372619048
169963.11.peg.300,0.375451264
169963.11.peg.301,0.399201597
169963.11.peg.302,0.470833333
169963.11.peg.303,0.327546296
169963.11.peg.304,0.33197832
169963.11.peg.305,0.419405321
169963.11.peg.306,0.384615385
169963.11.peg.307,0.426179604
169963.11.peg.308,0.439862543
169963.11.peg.309,0.42816092
169963.11.peg.310,0.426900585
169963.11.peg.311,0.402777778
169963.11.peg.312,0.311711712
169963.11.peg.313,0.308056872
169963.11.peg.314,0.428969359
169963.11.peg.315,0.270833333
169963.11.peg.316,0.306282723
169963.11.peg.317,0.311594203
169963.11.peg.318,0.280986763
169963.11.peg.319,0.281337047
169963.11.peg.320,0.301127214
169963.11.peg.321,0.308395677
169963.11.peg.322,0.2899729
169963.11.peg.323,0.452926209
169963.11.peg.324,0.466666667
169963.11.peg.325,0.483950617
169963.11.peg.326,0.458955224
169963.11.peg.327,0.471317829
169963.11.peg.328,0.420903955
169963.11.peg.329,0.395833333
169963.11.peg.330,0.4
169963.11.peg.331,0.31043257
169963.11.peg.332,0.392996109
169963.11.peg.333,0.370600414
169963.11.peg.334,0.337763012
169963.11.peg.335,0.388316151
169963.11.peg.336,0.37645865
169963.11.peg.337,0.323054332
169963.11.peg.338,0.339869281
169963.11.peg.339,0.358422939
169963.11.peg.340,0.344374343
169963.11.peg.341,0.303571429
169963.11.peg.342,0.357316845
169963.11.peg.343,0.304761905
169963.11.peg.344,0.349206349
169963.11.peg.345,0.414035088
169963.11.peg.346,0.420054201
169963.11.peg.347,0.396341463
169963.11.peg.348,0.288713911
169963.11.peg.349,0.373655914
169963.11.peg.350,0.397260274
169963.11.peg.351,0.354354354
169963.11.peg.352,0.470970971
169963.11.peg.353,0.409436834
169963.11.peg.354,0.409150327
169963.11.peg.355,0.409395973
169963.11.peg.356,0.415686275
169963.11.peg.357,0.447004608
169963.11.peg.358,0.427710843
169963.11.peg.359,0.423976608
169963.11.peg.360,0.384259259
169963.11.peg.361,0.380952381
169963.11.peg.362,0.363398693
169963.11.peg.363,0.384057971
169963.11.peg.364,0.391617551
169963.11.peg.365,0.388560158
169963.11.peg.366,0.376597837
169963.11.peg.367,0.29082774
169963.11.peg.368,0.411469534
169963.11.peg.369,0.378629501
169963.11.peg.370,0.381322957
169963.11.peg.371,0.25
169963.11.peg.372,0.378504673
169963.11.peg.373,0.444444444
169963.11.peg.374,0.362318841
169963.11.peg.375,0.323809524
169963.11.peg.376,0.260869565
169963.11.peg.377,0.40510697
169963.11.peg.378,0.396210164
169963.11.peg.379,0.454186414
169963.11.peg.380,0.394117647
169963.11.peg.381,0.380555556
169963.11.peg.382,0.413690476
169963.11.peg.383,0.389355742
169963.11.peg.384,0.383922384
169963.11.peg.385,0.384269663
169963.11.peg.386,0.392739274
169963.11.peg.387,0.328205128
169963.11.peg.388,0.421281216
169963.11.peg.389,0.402380952
169963.11.peg.390,0.270693512
169963.11.peg.391,0.313596491
169963.11.peg.392,0.213333333
169963.11.peg.393,0.271428571
169963.11.peg.394,0.289405685
169963.11.peg.395,0.413385827
169963.11.peg.396,0.436946149
169963.11.peg.397,0.441605839
169963.11.peg.398,0.420245399
169963.11.peg.399,0.471875
169963.11.peg.400,0.365591398
169963.11.peg.401,0.371273713
169963.11.peg.402,0.373655914
169963.11.peg.403,0.40990991
169963.11.peg.404,0.393333333
169963.11.peg.405,0.421164021
169963.11.peg.406,0.384444444
169963.11.peg.407,0.349131122
169963.11.peg.408,0.370892019
169963.11.peg.409,0.4082397
169963.11.peg.410,0.391304348
169963.11.peg.411,0.394335512
169963.11.peg.412,0.447447447
169963.11.peg.413,0.425876011
169963.11.peg.414,0.400304414
169963.11.peg.415,0.385529716
169963.11.peg.416,0.32853717
169963.11.peg.417,0.320802005
169963.11.peg.418,0.405753968
169963.11.peg.419,0.375328084
169963.11.peg.420,0.330788804
169963.11.peg.421,0.371158392
169963.11.peg.422,0.368613139
169963.11.peg.423,0.413014608
169963.11.peg.424,0.398618958
169963.11.peg.425,0.405005688
169963.11.peg.426,0.421875
169963.11.peg.427,0.414814815
169963.11.peg.428,0.368088468
169963.11.peg.429,0.343137255
169963.11.peg.430,0.279805353
169963.11.peg.431,0.373333333
169963.11.peg.432,0.338738739
169963.11.peg.433,0.394833948
169963.11.peg.434,0.371702638
169963.11.peg.435,0.31712963
169963.11.peg.436,0.327868852
169963.11.peg.437,0.409090909
169963.11.peg.438,0.397553517
169963.11.peg.439,0.36344086
169963.11.peg.440,0.398753894
169963.11.peg.441,0.435411021
169963.11.peg.442,0.412311266
169963.11.peg.443,0.363013699
169963.11.peg.444,0.405263158
169963.11.peg.445,0.410977242
169963.11.peg.446,0.373283396
169963.11.peg.447,0.364500792
169963.11.peg.448,0.392156863
169963.11.peg.449,0.357142857
169963.11.peg.450,0.335484939
169963.11.peg.451,0.318930041
169963.11.peg.452,0.410165485
169963.11.peg.453,0.338050314
169963.11.peg.454,0.382978723
169963.11.peg.455,0.323412698
169963.11.peg.456,0.397643594
169963.11.peg.457,0.428571429
169963.11.peg.458,0.388172043
169963.11.peg.459,0.373606616
169963.11.peg.460,0.335349462
169963.11.peg.461,0.38989899
169963.11.peg.462,0.390928726
169963.11.peg.463,0.359504132
169963.11.peg.464,0.314102564
169963.11.peg.465,0.376033058
169963.11.peg.466,0.396396396
169963.11.peg.467,0.358465608
169963.11.peg.468,0.393518519
169963.11.peg.469,0.401218451
169963.11.peg.470,0.39978903
169963.11.peg.471,0.366541353
169963.11.peg.472,0.411214953
169963.11.peg.473,0.437783833
169963.11.peg.474,0.447453256
169963.11.peg.475,0.317829457
169963.11.peg.476,0.363636364
169963.11.peg.477,0.325536062
169963.11.peg.478,0.373429952
169963.11.peg.479,0.335443038
169963.11.peg.480,0.351851852
169963.11.peg.481,0.379084967
169963.11.peg.482,0.298611111
169963.11.peg.483,0.339622642
169963.11.peg.484,0.300982091
169963.11.peg.485,0.296678121
169963.11.peg.486,0.271929825
169963.11.peg.487,0.349206349
169963.11.peg.488,0.330365974
169963.11.peg.489,0.308823529
169963.11.peg.490,0.403846154
169963.11.peg.491,0.275862069
169963.11.peg.492,0.304597701
169963.11.peg.493,0.41002045
169963.11.peg.494,0.456521739
169963.11.peg.495,0.213333333
169963.11.peg.496,0.335978836
169963.11.peg.497,0.317460317
169963.11.peg.498,0.347222222
169963.11.peg.499,0.385026738
169963.11.peg.500,0.403880071
169963.11.peg.501,0.413043478
169963.11.peg.502,0.429166667
169963.11.peg.503,0.428961749
169963.11.peg.504,0.416666667
169963.11.peg.505,0.461988304
169963.11.peg.506,0.412894376
169963.11.peg.507,0.380313199
169963.11.peg.508,0.412030075
169963.11.peg.509,0.397260274
169963.11.peg.510,0.409749671
169963.11.peg.511,0.324532453
169963.11.peg.512,0.385576377
169963.11.peg.513,0.436026936
169963.11.peg.514,0.404166667
169963.11.peg.515,0.311111111
169963.11.peg.516,0.321404904
169963.11.peg.517,0.435555556
169963.11.peg.518,0.397608371
169963.11.peg.519,0.379416283
169963.11.peg.520,0.357593401
169963.11.peg.521,0.389718076
169963.11.peg.522,0.382478632
169963.11.peg.523,0.363408521
169963.11.peg.524,0.380952381
169963.11.peg.525,0.41356256
169963.11.peg.526,0.363945578
169963.11.peg.527,0.397798742
169963.11.peg.528,0.427350427
169963.11.peg.529,0.321243523
169963.11.peg.530,0.375917768
169963.11.peg.531,0.426997245
169963.11.peg.532,0.413943355
169963.11.peg.533,0.370737074
169963.11.peg.534,0.377011494
169963.11.peg.535,0.377358491
169963.11.peg.536,0.37745098
169963.11.peg.537,0.441734417
169963.11.peg.538,0.417372881
169963.11.peg.539,0.421626984
169963.11.peg.540,0.416856492
169963.11.peg.541,0.379814077
169963.11.peg.542,0.328828829
169963.11.peg.543,0.398916968
169963.11.peg.544,0.380630631
169963.11.peg.545,0.356275304
169963.11.peg.546,0.366531165
169963.11.peg.547,0.376753507
169963.11.peg.548,0.405275779
169963.11.peg.549,0.387426901
169963.11.peg.550,0.364912281
169963.11.peg.551,0.403128761
169963.11.peg.552,0.366666667
169963.11.peg.553,0.457964602
169963.11.peg.554,0.411764706
169963.11.peg.555,0.405895692
169963.11.peg.556,0.43081761
169963.11.peg.557,0.467005076
169963.11.peg.558,0.368731563
169963.11.peg.559,0.346733668
169963.11.peg.560,0.384364821
169963.11.peg.561,0.373219373
169963.11.peg.562,0.410334347
169963.11.peg.563,0.38697318
169963.11.peg.564,0.335958005
169963.11.peg.565,0.4068745
169963.11.peg.566,0.373417722
169963.11.peg.567,0.310810811
169963.11.peg.568,0.360534125
169963.11.peg.569,0.400673401
169963.11.peg.570,0.434163701
169963.11.peg.571,0.36627907
169963.11.peg.572,0.358490566
169963.11.peg.573,0.389170897
169963.11.peg.574,0.407707911
169963.11.peg.575,0.388418079
169963.11.peg.576,0.380747126
169963.11.peg.577,0.395773295
169963.11.peg.578,0.309050773
169963.11.peg.579,0.432824982
169963.11.peg.580,0.375
169963.11.peg.581,0.402515723
169963.11.peg.582,0.455026455
169963.11.peg.583,0.427385892
169963.11.peg.584,0.406698565
169963.11.peg.585,0.418803419
169963.11.peg.586,0.426012461
169963.11.peg.587,0.381619938
169963.11.peg.588,0.401861252
169963.11.peg.589,0.39254386
169963.11.peg.590,0.444444444
169963.11.peg.591,0.358527132
169963.11.peg.592,0.412037037
169963.11.peg.593,0.401433692
169963.11.peg.594,0.399176955
169963.11.peg.595,0.344262295
169963.11.peg.596,0.442265795
169963.11.peg.597,0.398406375
169963.11.peg.598,0.385714286
169963.11.peg.599,0.390648567
169963.11.peg.600,0.373839662
169963.11.peg.601,0.388543823
169963.11.peg.602,0.395538396
169963.11.peg.603,0.346973572
169963.11.peg.604,0.434173669
169963.11.peg.605,0.351851852
169963.11.peg.606,0.402676399
169963.11.peg.607,0.391025641
169963.11.peg.608,0.374396135
169963.11.peg.609,0.398305085
169963.11.peg.610,0.360570687
169963.11.peg.611,0.364640884
169963.11.peg.612,0.36454432
169963.11.peg.613,0.418247516
169963.11.peg.614,0.409233177
169963.11.peg.615,0.365530303
169963.11.peg.616,0.361823362
169963.11.peg.617,0.415300546
169963.11.peg.618,0.324324324
169963.11.peg.619,0.372250423
169963.11.peg.620,0.351498638
169963.11.peg.621,0.386904762
169963.11.peg.622,0.392764858
169963.11.peg.623,0.344927536
169963.11.peg.624,0.407158837
169963.11.peg.625,0.362318841
169963.11.peg.626,0.392463768
169963.11.peg.627,0.392189219
169963.11.peg.628,0.383333333
169963.11.peg.629,0.36779661
169963.11.peg.630,0.379585327
169963.11.peg.631,0.370967742
169963.11.peg.632,0.398089172
169963.11.peg.633,0.331460674
169963.11.peg.634,0.337398374
169963.11.peg.635,0.339041096
169963.11.peg.636,0.323232323
169963.11.peg.637,0.37007874
169963.11.peg.638,0.35745614
169963.11.peg.639,0.351145038
169963.11.peg.640,0.358974359
169963.11.peg.641,0.286738351
169963.11.peg.642,0.370786517
169963.11.peg.643,0.355855856
169963.11.peg.644,0.381766382
169963.11.peg.645,0.355357143
169963.11.peg.646,0.369551485
169963.11.peg.647,0.430107527
169963.11.peg.648,0.352272727
169963.11.peg.649,0.341703594
169963.11.peg.650,0.348785872
169963.11.peg.651,0.421845574
169963.11.peg.652,0.372168285
169963.11.peg.653,0.375098503
169963.11.peg.654,0.341843972
169963.11.peg.655,0.388489209
169963.11.peg.656,0.420875421
169963.11.peg.657,0.342857143
169963.11.peg.658,0.361423221
169963.11.peg.659,0.393192488
169963.11.peg.660,0.414673046
169963.11.peg.661,0.373113855
169963.11.peg.662,0.384057971
169963.11.peg.663,0.376344086
169963.11.peg.664,0.372872048
169963.11.peg.665,0.395114943
169963.11.peg.666,0.410714286
169963.11.peg.667,0.340350877
169963.11.peg.668,0.330178759
169963.11.peg.669,0.338006231
169963.11.peg.670,0.385358603
169963.11.peg.671,0.354938272
169963.11.peg.672,0.39292365
169963.11.peg.673,0.404761905
169963.11.peg.674,0.376190476
169963.11.peg.675,0.388418079
169963.11.peg.676,0.361702128
169963.11.peg.677,0.39088729
169963.11.peg.678,0.378930818
169963.11.peg.679,0.305462653
169963.11.peg.680,0.336842105
169963.11.peg.681,0.446601942
169963.11.peg.682,0.411764706
169963.11.peg.683,0.38177624
169963.11.peg.684,0.425531915
169963.11.peg.685,0.416666667
169963.11.peg.686,0.407407407
169963.11.peg.687,0.393162393
169963.11.peg.688,0.39688716
169963.11.peg.689,0.324786325
169963.11.peg.690,0.406779661
169963.11.peg.691,0.395480226
169963.11.peg.692,0.346469622
169963.11.peg.693,0.368298368
169963.11.peg.694,0.323809524
169963.11.peg.695,0.350705755
169963.11.peg.696,0.326984127
169963.11.peg.697,0.381510417
169963.11.peg.698,0.41025641
169963.11.peg.699,0.377952756
169963.11.peg.700,0.41356256
169963.11.peg.701,0.415703276
169963.11.peg.702,0.418300654
169963.11.peg.703,0.415384615
169963.11.peg.704,0.3878327
169963.11.peg.705,0.37202381
169963.11.peg.706,0.431818182
169963.11.peg.707,0.425120773
169963.11.peg.708,0.371257485
169963.11.peg.709,0.386102403
169963.11.peg.710,0.380638064
169963.11.peg.711,0.381944444
169963.11.peg.712,0.408333333
169963.11.peg.713,0.409262251
169963.11.peg.714,0.42
169963.11.peg.715,0.377128954
169963.11.peg.716,0.430754537
169963.11.peg.717,0.394799054
169963.11.peg.718,0.419902913
169963.11.peg.719,0.400843882
169963.11.peg.720,0.403826788
169963.11.peg.721,0.408268734
169963.11.peg.722,0.393874644
169963.11.peg.723,0.358183376
169963.11.peg.724,0.32688172
169963.11.peg.725,0.354312354
169963.11.peg.726,0.421433268
169963.11.peg.727,0.382420091
169963.11.peg.728,0.39379845
169963.11.peg.729,0.333333333
169963.11.peg.730,0.340425532
169963.11.peg.731,0.415422886
169963.11.peg.732,0.425790754
169963.11.peg.733,0.404040404
169963.11.peg.734,0.418632789
169963.11.peg.735,0.409214092
169963.11.peg.736,0.383838384
169963.11.peg.737,0.430107527
169963.11.peg.738,0.4245142
169963.11.peg.739,0.376744186
169963.11.peg.740,0.391437309
169963.11.peg.741,0.385802469
169963.11.peg.742,0.38117284
169963.11.peg.743,0.426920855
169963.11.peg.744,0.404761905
169963.11.peg.745,0.395061728
169963.11.peg.746,0.384976526
169963.11.peg.747,0.465277778
169963.11.peg.748,0.373333333
169963.11.peg.749,0.407530454
169963.11.peg.750,0.412955466
169963.11.peg.751,0.4
169963.11.peg.752,0.345132743
169963.11.peg.753,0.395061728
169963.11.peg.754,0.287878788
169963.11.peg.755,0.378716745
169963.11.peg.756,0.370588235
169963.11.peg.757,0.343283582
169963.11.peg.758,0.358630952
169963.11.peg.759,0.371364653
169963.11.peg.760,0.380493033
169963.11.peg.761,0.392664509
169963.11.peg.762,0.356622999
169963.11.peg.763,0.337878788
169963.11.peg.764,0.341269841
169963.11.peg.765,0.343478261
169963.11.peg.766,0.344680851
169963.11.peg.767,0.351824088
169963.11.peg.768,0.363095238
169963.11.peg.769,0.296666667
169963.11.peg.770,0.315972222
169963.11.peg.771,0.319444444
169963.11.peg.772,0.357487923
169963.11.peg.773,0.331395349
169963.11.peg.774,0.356902357
169963.11.peg.775,0.397849462
169963.11.peg.776,0.334801762
169963.11.peg.777,0.395424837
169963.11.peg.778,0.406326034
169963.11.peg.779,0.420529801
169963.11.peg.780,0.429153925
169963.11.peg.781,0.418918919
169963.11.peg.782,0.405208333
169963.11.peg.783,0.407224959
169963.11.peg.784,0.391304348
169963.11.peg.785,0.402545744
169963.11.peg.786,0.429553265
169963.11.peg.787,0.366666667
169963.11.peg.788,0.349499615
169963.11.peg.789,0.355780022
169963.11.peg.790,0.348173516
169963.11.peg.791,0.360446571
169963.11.peg.792,0.349854227
169963.11.peg.793,0.346738159
169963.11.peg.794,0.314741036
169963.11.peg.795,0.325617284
169963.11.peg.796,0.397979798
169963.11.peg.797,0.425806452
169963.11.peg.798,0.369369369
169963.11.peg.799,0.410611303
169963.11.peg.800,0.393229167
169963.11.peg.801,0.374429224
169963.11.peg.802,0.384615385
169963.11.peg.803,0.310344828
169963.11.peg.804,0.424345848
169963.11.peg.805,0.426814268
169963.11.peg.806,0.380658436
169963.11.peg.807,0.4
169963.11.peg.808,0.378771743
169963.11.peg.809,0.353773585
169963.11.peg.810,0.381263617
169963.11.peg.811,0.405374887
169963.11.peg.812,0.335689046
169963.11.peg.813,0.406708595
169963.11.peg.814,0.347158218
169963.11.peg.815,0.37037037
169963.11.peg.816,0.408831909
169963.11.peg.817,0.409657321
169963.11.peg.818,0.394136808
169963.11.peg.819,0.403013183
169963.11.peg.820,0.348387097
169963.11.peg.821,0.403148528
169963.11.peg.822,0.354330709
169963.11.peg.823,0.35042735
169963.11.peg.824,0.316331788
169963.11.peg.825,0.331768388
169963.11.peg.826,0.384577843
169963.11.peg.827,0.324840764
169963.11.peg.828,0.322510823
169963.11.peg.829,0.364640884
169963.11.peg.830,0.38147139
169963.11.peg.831,0.362962963
169963.11.peg.832,0.384138786
169963.11.peg.833,0.391992551
169963.11.peg.834,0.38034188
169963.11.peg.835,0.421731123
169963.11.peg.836,0.423825888
169963.11.peg.837,0.448387097
169963.11.peg.838,0.300220751
169963.11.peg.839,0.291913215
169963.11.peg.840,0.40821256
169963.11.peg.841,0.415811479
169963.11.peg.842,0.372202591
169963.11.peg.843,0.387096774
169963.11.peg.844,0.342383107
169963.11.peg.845,0.41025641
169963.11.peg.846,0.386666667
169963.11.peg.847,0.410732714
169963.11.peg.848,0.421545667
169963.11.peg.849,0.402446483
169963.11.peg.850,0.339869281
169963.11.peg.851,0.358422939
169963.11.peg.852,0.421326754
169963.11.peg.853,0.370540265
169963.11.peg.854,0.375
169963.11.peg.855,0.270175439
169963.11.peg.856,0.32996633
169963.11.peg.857,0.319727891
169963.11.peg.858,0.347263682
169963.11.peg.859,0.342995169
169963.11.peg.860,0.393772894
169963.11.peg.861,0.362914863
169963.11.peg.862,0.417690418
169963.11.peg.863,0.333333333
169963.11.peg.864,0.42149073
169963.11.peg.865,0.366748166
169963.11.peg.866,0.391472868
169963.11.peg.867,0.386243386
169963.11.peg.868,0.412137681
169963.11.peg.869,0.342415985
169963.11.peg.870,0.37006237
169963.11.peg.871,0.384087791
169963.11.peg.872,0.370070232
169963.11.peg.873,0.28030303
169963.11.peg.874,0.333333333
169963.11.peg.875,0.355731225
